[run number],n-turtles,spread-chance,pop-weight,n-groups,familiarity-inc,group-tightness,fam-weight,[steps],proportion
420,100,0,0.3,10,0.1,0.3,0.8,5000,0.51
421,100,0,0.3,10,0.1,0.3,0.9,298,1
422,100,0,0.3,10,0.1,0.3,0.9,5000,0.58
423,100,0,0.3,10,0.1,0.3,0.9,5000,0.56
424,100,0,0.3,10,0.1,0.3,0.9,5000,0.67
425,100,0,0.3,10,0.1,0.3,0.9,5000,0.52
426,100,0,0.3,10,0.1,0.3,0.9,5000,0.52
427,100,0,0.3,10,0.1,0.3,0.9,5000,0.61
428,100,0,0.3,10,0.1,0.3,0.9,5000,0.69
429,100,0,0.3,10,0.1,0.3,0.9,5000,0.55
430,100,0,0.3,10,0.1,0.3,0.9,289,1
431,100,0,0.3,10,0.1,0.3,1,5000,0.56
432,100,0,0.3,10,0.1,0.3,1,5000,0.72
433,100,0,0.3,10,0.1,0.3,1,5000,0.68
434,100,0,0.3,10,0.1,0.3,1,5000,0.71
435,100,0,0.3,10,0.1,0.3,1,5000,0.54
436,100,0,0.3,10,0.1,0.3,1,5000,0.56
437,100,0,0.3,10,0.1,0.3,1,5000,0.67
438,100,0,0.3,10,0.1,0.3,1,5000,0.58
439,100,0,0.3,10,0.1,0.3,1,5000,0.56
440,100,0,0.3,10,0.1,0.3,1,5000,0.65
441,100,0,0.4,10,0.1,0.3,0,5000,0.62
442,100,0,0.4,10,0.1,0.3,0,5000,0.64
443,100,0,0.4,10,0.1,0.3,0,5000,0.73
444,100,0,0.4,10,0.1,0.3,0,5000,0.77
445,100,0,0.4,10,0.1,0.3,0,5000,0.64
446,100,0,0.4,10,0.1,0.3,0,5000,0.93
447,100,0,0.4,10,0.1,0.3,0,5000,0.77
448,100,0,0.4,10,0.1,0.3,0,5000,0.87
449,100,0,0.4,10,0.1,0.3,0,5000,0.56
450,100,0,0.4,10,0.1,0.3,0,5000,0.76
451,100,0,0.4,10,0.1,0.3,0.1,2339,1
452,100,0,0.4,10,0.1,0.3,0.1,5000,0.54
453,100,0,0.4,10,0.1,0.3,0.1,5000,0.66
454,100,0,0.4,10,0.1,0.3,0.1,5000,0.65
455,100,0,0.4,10,0.1,0.3,0.1,5000,0.54
456,100,0,0.4,10,0.1,0.3,0.1,5000,0.62
457,100,0,0.4,10,0.1,0.3,0.1,5000,0.51
458,100,0,0.4,10,0.1,0.3,0.1,5000,0.66
459,100,0,0.4,10,0.1,0.3,0.1,5000,0.58
460,100,0,0.4,10,0.1,0.3,0.1,5000,0.97
461,100,0,0.4,10,0.1,0.3,0.2,5000,0.98
